_id,INDEX_,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
36,336,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against the Person,Assaults,6
37,337,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Total Arrests,Total Arrests,14
38,338,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Other Criminal Code Violations,Other,8
39,339,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
40,340,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against Property,Other,3
41,341,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,3
42,342,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
43,343,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
44,344,2014,D11,087,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against the Person,Other,4
45,345,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Total Arrests,Total Arrests,13
46,346,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
47,347,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Other Criminal Code Violations,Firearm-Related,1
48,348,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against the Person,Assaults,2
49,349,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against Property,Other,2
50,350,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Other Criminal Code Violations,Other,4
51,101,2014,D11,084,Little Portugal (84),Female,25 to 34,Adult,Crimes Against Property,Other,2
52,102,2014,D11,084,Little Portugal (84),Female,35 to 44,Adult,Total Arrests,Total Arrests,1
53,103,2014,D11,084,Little Portugal (84),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,1
54,104,2014,D11,084,Little Portugal (84),Female,45 to 54,Adult,Crimes Against Property,Theft Under $5000,1
55,105,2014,D11,084,Little Portugal (84),Female,45 to 54,Adult,Total Arrests,Total Arrests,1
56,106,2014,D11,084,Little Portugal (84),Male,<18,Youth,Total Arrests,Total Arrests,1
57,107,2014,D11,084,Little Portugal (84),Male,<18,Youth,Crimes Against the Person,Robbery,1
58,108,2014,D11,084,Little Portugal (84),Male,18 to 24,Adult,Total Arrests,Total Arrests,4
59,109,2014,D11,084,Little Portugal (84),Male,18 to 24,Adult,Other Criminal Code Violations,Other,1
60,110,2014,D11,084,Little Portugal (84),Male,18 to 24,Adult,Crimes Against the Person,Assaults,1
61,111,2014,D11,084,Little Portugal (84),Male,18 to 24,Adult,Crimes Against Property,Other,1
62,112,2014,D11,084,Little Portugal (84),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
63,113,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Crimes Against the Person,Robbery,1
64,114,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Total Arrests,Total Arrests,14
65,115,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Crimes Against the Person,Other,2
66,116,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
67,117,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Other Criminal Code Violations,Other,2
68,118,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Crimes Against the Person,Assaults,5
69,119,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
70,120,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
71,121,2014,D11,084,Little Portugal (84),Male,25 to 34,Adult,Crimes Against Property,Other,6
72,122,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Other Criminal Code Violations,Other,1
73,123,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
74,124,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Total Arrests,Total Arrests,5
75,125,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
76,126,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Crimes Against the Person,Assaults,2
77,127,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Crimes Against the Person,Other,1
78,128,2014,D11,084,Little Portugal (84),Male,35 to 44,Adult,Crimes Against Property,Other,1
79,129,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,1
80,130,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Other Criminal Code Violations,Other,2
81,131,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Crimes Against Property,Other,1
82,132,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Total Arrests,Total Arrests,6
83,133,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,1
84,134,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
85,135,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
86,136,2014,D11,084,Little Portugal (84),Male,45 to 54,Adult,Crimes Against the Person,Other,1
87,137,2014,D11,084,Little Portugal (84),Male,65+,Adult,Total Arrests,Total Arrests,2
88,138,2014,D11,084,Little Portugal (84),Male,65+,Adult,Other Criminal Code Violations,Other,1
89,139,2014,D11,084,Little Portugal (84),Male,65+,Adult,Crimes Against Property,Theft Under $5000,1
90,140,2014,D11,084,Little Portugal (84),Male,65+,Adult,Crimes Against the Person,Assaults,1
91,141,2014,D11,085,South Parkdale (85),Female,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
92,142,2014,D11,085,South Parkdale (85),Female,45 to 54,Adult,Total Arrests,Total Arrests,2
93,143,2014,D11,085,South Parkdale (85),Female,45 to 54,Adult,Other Criminal Code Violations,Other,1
94,144,2014,D11,085,South Parkdale (85),Female,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
95,145,2014,D11,085,South Parkdale (85),Female,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
96,146,2014,D11,085,South Parkdale (85),Female,55 to 64,Adult,Total Arrests,Total Arrests,2
97,147,2014,D11,085,South Parkdale (85),Female,55 to 64,Adult,Crimes Against Property,Other,1
98,148,2014,D11,085,South Parkdale (85),Male,18 to 24,Adult,Total Arrests,Total Arrests,2
99,149,2014,D11,085,South Parkdale (85),Male,18 to 24,Adult,Crimes Against the Person,Assaults,1
100,150,2014,D11,085,South Parkdale (85),Male,18 to 24,Adult,Other Criminal Code Violations,Other,1
101,151,2014,D11,085,South Parkdale (85),Male,25 to 34,Adult,Crimes Against the Person,Assaults,1
102,152,2014,D11,085,South Parkdale (85),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
103,153,2014,D11,085,South Parkdale (85),Male,25 to 34,Adult,Total Arrests,Total Arrests,5
104,154,2014,D11,085,South Parkdale (85),Male,25 to 34,Adult,Crimes Against Property,Other,2
105,155,2014,D11,085,South Parkdale (85),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
106,156,2014,D11,085,South Parkdale (85),Male,35 to 44,Adult,Crimes Against the Person,Assaults,2
107,157,2014,D11,085,South Parkdale (85),Male,35 to 44,Adult,Total Arrests,Total Arrests,3
108,158,2014,D11,085,South Parkdale (85),Male,45 to 54,Adult,Total Arrests,Total Arrests,2
109,159,2014,D11,085,South Parkdale (85),Male,45 to 54,Adult,Other Criminal Code Violations,Other,1
110,160,2014,D11,085,South Parkdale (85),Male,45 to 54,Adult,Crimes Against Property,Other,2
111,161,2014,D11,085,South Parkdale (85),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
112,162,2014,D11,085,South Parkdale (85),Male,55 to 64,Adult,Total Arrests,Total Arrests,1
113,163,2014,D11,085,South Parkdale (85),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
114,164,2014,D11,085,South Parkdale (85),Male,55 to 64,Adult,Other Criminal Code Violations,Other,1
115,165,2014,D11,086,Roncesvalles (86),Female,<18,Youth,Crimes Against the Person,Robbery,1
116,166,2014,D11,086,Roncesvalles (86),Female,<18,Youth,Controlled Drugs and Substances Act,Other,1
117,167,2014,D11,086,Roncesvalles (86),Female,<18,Youth,Total Arrests,Total Arrests,2
118,168,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Other Criminal Code Violations,Other,2
119,169,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
120,170,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Crimes Against Property,Other,1
121,171,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Crimes Against Property,Theft Under $5000,2
122,172,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Criminal Code Traffic,Other,1
123,173,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
124,174,2014,D11,086,Roncesvalles (86),Female,18 to 24,Adult,Total Arrests,Total Arrests,5
125,175,2014,D11,086,Roncesvalles (86),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,8
126,176,2014,D11,086,Roncesvalles (86),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
127,177,2014,D11,086,Roncesvalles (86),Female,25 to 34,Adult,Other Criminal Code Violations,Other,4
128,178,2014,D11,086,Roncesvalles (86),Female,25 to 34,Adult,Total Arrests,Total Arrests,12
129,179,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
130,180,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,3
131,181,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Total Arrests,Total Arrests,8
132,182,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Crimes Against the Person,Other,3
133,183,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Other Criminal Code Violations,Other,3
134,184,2014,D11,086,Roncesvalles (86),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
135,185,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against Property,Other,2
136,186,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against Property,Break and Enter,1
137,187,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against the Person,Assaults,1
138,188,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Other Criminal Code Violations,Other,3
139,189,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against the Person,Other,2
140,190,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
141,191,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Total Arrests,Total Arrests,6
142,192,2014,D11,086,Roncesvalles (86),Female,45 to 54,Adult,Crimes Against the Person,Robbery,2
143,193,2014,D11,086,Roncesvalles (86),Female,55 to 64,Adult,Controlled Drugs and Substances Act,Other,2
144,194,2014,D11,086,Roncesvalles (86),Female,55 to 64,Adult,Crimes Against Property,Theft Under $5000,2
145,195,2014,D11,086,Roncesvalles (86),Female,55 to 64,Adult,Total Arrests,Total Arrests,4
146,196,2014,D11,086,Roncesvalles (86),Female,55 to 64,Adult,Other Criminal Code Violations,Other,2
147,197,2014,D11,086,Roncesvalles (86),Female,65+,Adult,Crimes Against Property,Other,1
148,198,2014,D11,086,Roncesvalles (86),Female,65+,Adult,Total Arrests,Total Arrests,1
149,199,2014,D11,086,Roncesvalles (86),Male,<18,Youth,Controlled Drugs and Substances Act,Other,3
150,200,2014,D11,086,Roncesvalles (86),Male,<18,Youth,Total Arrests,Total Arrests,30
151,51,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,2
152,52,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Total Arrests,Total Arrests,18
153,53,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against Property,Break and Enter,3
154,54,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against Property,Fraud,2
155,55,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against Property,Other,10
156,56,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against the Person,Other,1
157,57,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,6
158,58,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Other Criminal Code Violations,Other,3
159,59,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against the Person,Assaults,4
160,60,2014,D11,083,Dufferin Grove (83),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
161,61,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Crimes Against the Person,Other,5
162,62,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
163,63,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Other Criminal Code Violations,Other,6
164,64,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Crimes Against the Person,Assaults,7
165,65,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Criminal Code Traffic,Dangerous Driving,1
166,66,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Crimes Against Property,Other,7
167,67,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Crimes Against Property,Theft Over $5000,1
168,68,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,21
169,69,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,4
170,70,2014,D11,083,Dufferin Grove (83),Male,25 to 34,Adult,Total Arrests,Total Arrests,39
171,71,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against Property,Other,4
172,72,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Other Criminal Code Violations,Other,9
173,73,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
174,74,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
175,75,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
176,76,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Total Arrests,Total Arrests,28
177,77,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against the Person,Other,2
178,78,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,19
179,79,2014,D11,083,Dufferin Grove (83),Male,35 to 44,Adult,Crimes Against the Person,Assaults,4
180,80,2014,D11,083,Dufferin Grove (83),Male,45 to 54,Adult,Total Arrests,Total Arrests,13
181,81,2014,D11,083,Dufferin Grove (83),Male,45 to 54,Adult,Crimes Against the Person,Assaults,1
182,82,2014,D11,083,Dufferin Grove (83),Male,45 to 54,Adult,Other Criminal Code Violations,Other,6
183,83,2014,D11,083,Dufferin Grove (83),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,12
184,84,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Crimes Against the Person,Other,1
185,85,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Other Criminal Code Violations,Other,3
186,86,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Total Arrests,Total Arrests,6
187,87,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,5
188,88,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Crimes Against the Person,Assaults,1
189,89,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Crimes Against Property,Other,1
190,90,2014,D11,083,Dufferin Grove (83),Male,55 to 64,Adult,Crimes Against Property,Fraud,1
191,91,2014,D11,083,Dufferin Grove (83),Male,65+,Adult,Total Arrests,Total Arrests,4
192,92,2014,D11,083,Dufferin Grove (83),Male,65+,Adult,Crimes Against the Person,Other,1
193,93,2014,D11,083,Dufferin Grove (83),Male,65+,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
194,94,2014,D11,083,Dufferin Grove (83),Male,65+,Adult,Crimes Against the Person,Assaults,1
195,95,2014,D11,083,Dufferin Grove (83),Male,65+,Adult,Crimes Against Property,Theft Under $5000,3
196,96,2014,D11,084,Little Portugal (84),Female,18 to 24,Adult,Crimes Against the Person,Assaults,2
197,97,2014,D11,084,Little Portugal (84),Female,18 to 24,Adult,Total Arrests,Total Arrests,2
198,98,2014,D11,084,Little Portugal (84),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
199,99,2014,D11,084,Little Portugal (84),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
200,100,2014,D11,084,Little Portugal (84),Female,25 to 34,Adult,Total Arrests,Total Arrests,4
201,251,2014,D11,086,Roncesvalles (86),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,1
202,252,2014,D11,086,Roncesvalles (86),Male,45 to 54,Adult,Total Arrests,Total Arrests,32
203,253,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Crimes Against the Person,Other,2
204,254,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,1
205,255,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
206,256,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Other Criminal Code Violations,Other,4
207,257,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Crimes Against the Person,Assaults,3
208,258,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Crimes Against the Person,Sexual Violations,1
209,259,2014,D11,086,Roncesvalles (86),Male,55 to 64,Adult,Total Arrests,Total Arrests,9
210,260,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Crimes Against the Person,Attempted Murder,1
211,261,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Total Arrests,Total Arrests,7
212,262,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Other Criminal Code Violations,Other,1
213,263,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Crimes Against Property,Theft Under $5000,2
214,264,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Controlled Drugs and Substances Act,Other,2
215,265,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Crimes Against the Person,Other,1
216,266,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Crimes Against Property,Other,2
217,267,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Crimes Against the Person,Assaults,2
218,268,2014,D11,086,Roncesvalles (86),Male,65+,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
219,269,2014,D11,086,Roncesvalles (86),Unknown,<18,Youth,Crimes Against the Person,Assaults,1
220,270,2014,D11,086,Roncesvalles (86),Unknown,<18,Youth,Crimes Against Property,Break and Enter,1
221,271,2014,D11,086,Roncesvalles (86),Unknown,<18,Youth,Total Arrests,Total Arrests,1
222,272,2014,D11,086,Roncesvalles (86),Unknown,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
223,273,2014,D11,086,Roncesvalles (86),Unknown,35 to 44,Adult,Crimes Against the Person,Robbery,1
224,274,2014,D11,086,Roncesvalles (86),Unknown,35 to 44,Adult,Total Arrests,Total Arrests,1
225,275,2014,D11,087,High Park-Swansea (87),Female,<18,Youth,Total Arrests,Total Arrests,1
226,276,2014,D11,087,High Park-Swansea (87),Female,<18,Youth,Controlled Drugs and Substances Act,Other,1
227,277,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
228,278,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Other Criminal Code Violations,Other,2
229,279,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
230,280,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Crimes Against Property,Other,1
231,281,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Total Arrests,Total Arrests,4
232,282,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,1
233,283,2014,D11,087,High Park-Swansea (87),Female,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
234,284,2014,D11,087,High Park-Swansea (87),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
235,285,2014,D11,087,High Park-Swansea (87),Female,25 to 34,Adult,Other Criminal Code Violations,Other,3
236,286,2014,D11,087,High Park-Swansea (87),Female,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,2
237,287,2014,D11,087,High Park-Swansea (87),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
238,288,2014,D11,087,High Park-Swansea (87),Female,25 to 34,Adult,Total Arrests,Total Arrests,7
239,289,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
240,290,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Other Criminal Code Violations,Other,2
241,291,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
242,292,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Crimes Against Property,Other,1
243,293,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Crimes Against the Person,Assaults,2
244,294,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
245,295,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Total Arrests,Total Arrests,7
246,296,2014,D11,087,High Park-Swansea (87),Female,35 to 44,Adult,Crimes Against Property,Break and Enter,1
247,297,2014,D11,087,High Park-Swansea (87),Female,45 to 54,Adult,Crimes Against the Person,Assaults,1
248,298,2014,D11,087,High Park-Swansea (87),Female,45 to 54,Adult,Crimes Against Property,Other,2
249,299,2014,D11,087,High Park-Swansea (87),Female,45 to 54,Adult,Total Arrests,Total Arrests,2
250,300,2014,D11,087,High Park-Swansea (87),Female,45 to 54,Adult,Crimes Against the Person,Other,1
251,351,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,4
252,352,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against the Person,Other,3
253,353,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,3
254,354,2014,D11,087,High Park-Swansea (87),Male,45 to 54,Adult,Crimes Against Property,Fraud,1
255,355,2014,D11,087,High Park-Swansea (87),Male,55 to 64,Adult,Crimes Against the Person,Assaults,1
256,356,2014,D11,087,High Park-Swansea (87),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,3
257,357,2014,D11,087,High Park-Swansea (87),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
258,358,2014,D11,087,High Park-Swansea (87),Male,55 to 64,Adult,Crimes Against the Person,Other,2
259,359,2014,D11,087,High Park-Swansea (87),Male,55 to 64,Adult,Total Arrests,Total Arrests,9
